name,code,hex,detail_block,accent_friends,trim_friends,url
"MALTED MILK","PPG1073-2","#E8D9CE","PPG1073-2
Malted Milk is a light, neutral, peachy orange with a brown undertone. It is a perfect paint color for all the walls. Pair it with corals or vibrant greens.
R: 232 G: 217 B: 206 LRV: 71
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","HAPPY TRAILS (PPG1084-4); OSTRICH FEATHER (PPG14-32)","LOTUS PETAL (PPG1073-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/oranges/malted-milk"
"MAYBE MUSHROOM","PPG1020-2","#E2D8CB","PPG1020-2
Maybe Mushroom is a light, gray, cosmetic beige with a sandy undertone. It is a perfect paint color for a traditional style in any space. Pair it with navy tones or charcoal for contrast.
R: 226 G: 216 B: 203 LRV: 69
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","HAPPY TRAILS (PPG1084-4); OSTRICH FEATHER (PPG14-32)","LOTUS PETAL (PPG1073-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/neutrals/maybe-mushroom"
"CASUAL ELEGANCE","PPG1075-3","#DFD5C8","PPG1075-3
Casual Elegance is a soft, neutral, taupe beige with a pink undertone. It is a perfect paint color for all main walls. Pair it with white trim.
R: 223 G: 213 B: 200 LRV: 67
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","HAPPY TRAILS (PPG1084-4); OSTRICH FEATHER (PPG14-32)","LOTUS PETAL (PPG1073-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/neutrals/casual-elegance"
"SYNCHRONICITY","PPG1021-2","#CFC5B6","PPG1021-2
Synchronicity is a light, gray, peachy beige with a brown undertone. It is a perfect paint color for an open floor plan. Pair it with any color you choose.
R: 207 G: 197 B: 182 LRV: 57
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","HAPPY TRAILS (PPG1084-4); OSTRICH FEATHER (PPG14-32)","LOTUS PETAL (PPG1073-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/neutrals/synchronicity"
"INTUITIVE","PPG1022-2","#CFC6BC","PPG1022-2
Intuitive is a light, gray, taupe greige with a pink undertone. It is a perfect paint color for behind a fireplace wall. Pair it with a white molded mantle to set this color exquisitely.
R: 207 G: 198 B: 188 LRV: 58
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","HAPPY TRAILS (PPG1084-4); OSTRICH FEATHER (PPG14-32)","LOTUS PETAL (PPG1073-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/neutrals/intuitive"
"STORM'S COMING","PPG1008-2","#CFC9BC","PPG1008-2
Storm's Coming is a light, gray, fresh greige with a red undertone. It is a perfect paint color for bringing a sunny feeling to most modern spaces. Pair it with honeyed woods, pinks and blues alike.
R: 207 G: 201 B: 188 LRV: 58
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/neutrals/storm-s-coming"
"SWIRLING SMOKE","PPG1007-2","#CECAC1","PPG1007-2
Swirling Smoke is a light, gray, modern greige with a mahogany undertone. It is a perfect paint color for a dining room. Pair it with light woods and white trim.
R: 206 G: 202 B: 193 LRV: 60
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/neutrals/swirling-smoke"
"EARLY EVENING","PPG1006-3","#CAC7BF","PPG1006-3
Early Evening is a soft, warm, veiled gray with a red undertone. It is a perfect paint color for an interior or exterior. Pair it with honeyed woods and blue accents.
R: 202 G: 199 B: 191 LRV: 58
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/neutrals/early-evening"
"GHOST WRITER","PPG1007-3","#BCB7AD","PPG1007-3
Ghost Writer is a soft, gray, modern greige with a mahogany undertone. It is a perfect paint color for all main walls. Pair it with lighter greige-inspired colors.
R: 188 G: 183 B: 173 LRV: 48
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/neutrals/ghost-writer"
"SILVER DOLLAR","PPG1022-3","#BDB6AE","PPG1022-3
Silver Dollar is a soft, gray, taupe greige with a pink undertone. It is a perfect paint color for a lovely main wall or living room. Pair it with lighter tones of this color.
R: 189 G: 182 B: 174 LRV: 47
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","HAPPY TRAILS (PPG1084-4); OSTRICH FEATHER (PPG14-32)","LOTUS PETAL (PPG1073-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/neutrals/silver-dollar"
"GREYHOUND","PPG1008-3","#B2ACA2","PPG1008-3
Greyhound is a soft, gray, fresh greige with a red undertone. It is a perfect paint color for all main walls or any space. Pair it with deep teal accents.
R: 178 G: 172 B: 162 LRV: 41
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/neutrals/greyhound"
"SHADOW TAUPE","PPG14-01","#B4AAA0","PPG14-01
Shadow Taupe is a soft, gray, fresh greige with a red undertone. It is a perfect paint color for any space. Pair it with deep teal hues.
R: 180 G: 170 B: 160 LRV: 40
Free color swatches available in 4""x4"" or 8""x8"" sizes
ACCENT
TRIM & CEILING","THIN ICE (PPG1001-3); FLAGSTONE (PPG1001-4)","DELICATE WHITE (PPG1001-1); ARIA (PPG1001-2)","https://www.ppgpaints.com/color/color-families/neutrals/shadow-taupe"
"DISCOVER","PPG1021-3","#BDB0A0","PPG1021-3
Discover is a soft, gray, peachy beige with a brown undertone. It is a perfect paint color for any interior selections. Pair it with deeper browns and blacks for contrast.
R: 189 G: 176 B: 160 LRV: 45
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","HAPPY TRAILS (PPG1084-4); OSTRICH FEATHER (PPG14-32)","LOTUS PETAL (PPG1073-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/neutrals/discover"
"GOTTA HAVE IT","PPG1076-3","#D0C2B4","PPG1076-3
Gotta Have It is a soft, neutral, veiled beige with a red undertone. It is a perfect paint color for any room or as the exterior of your home. Pair it with white trim and monochromatic colors or deep brown or black trim for an exterior.
R: 208 G: 194 B: 180 LRV: 55
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/neutrals/gotta-have-it"
"WHIPPET","PPG1020-3","#CEC1B5","PPG1020-3
Whippet is a soft, gray, cosmetic beige with a sandy undertone. It is a perfect paint color for a graceful, warm living room. Pair it with white trim and accent with earth toned reds and greens.
R: 206 G: 193 B: 181 LRV: 53
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","HAPPY TRAILS (PPG1084-4); OSTRICH FEATHER (PPG14-32)","LOTUS PETAL (PPG1073-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/neutrals/whippet"
"CHEERFUL HEART","PPG1016-3","#DCC7C0","PPG1016-3
Cheerful Heart is a soft, neutral, cosmetic orange with a sandy undertone. It is a perfect paint color to add warmth and coziness to your living room. Pair it with darker colors as well as dark wood tones.
R: 220 G: 199 B: 192 LRV: 60
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","HAPPY TRAILS (PPG1084-4); OSTRICH FEATHER (PPG14-32)","LOTUS PETAL (PPG1073-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/oranges/cheerful-heart"
"PALE TAUPE","PPG1073-3","#E3D1C8","PPG1073-3
Pale Taupe is a soft, neutral, peachy orange with a brown undertone. It is a perfect paint color for a living room, bedroom, or dining room. Pair it with off-white trim for a classic town and country feel.
R: 227 G: 209 B: 200 LRV: 66
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","HAPPY TRAILS (PPG1084-4); OSTRICH FEATHER (PPG14-32)","LOTUS PETAL (PPG1073-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/oranges/pale-taupe"
"GRAY BEIGE","PPG14-30","#DAD1C6","PPG14-30
Gray Beige is a soft, neutral, taupe beige with a pink undertone. It is a perfect paint color for all main walls. Pair it with white trim and greiges as the main wall color.
R: 218 G: 209 B: 198 LRV: 64
Free color swatches available in 4""x4"" or 8""x8"" sizes
ACCENT
TRIM & CEILING","THIN ICE (PPG1001-3); FLAGSTONE (PPG1001-4)","DELICATE WHITE (PPG1001-1); ARIA (PPG1001-2)","https://www.ppgpaints.com/color/color-families/neutrals/gray-beige"
"COMFORT","PPG1078-3","#E3CEB8","PPG1078-3
Comfort is a soft, neutral, fresh beige with a red undertone. It is a perfect paint color to warm up a bedroom or living space. Pair it with honeyed woods.
R: 227 G: 206 B: 184 LRV: 63
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/beiges/comfort"
"SOURDOUGH","PPG1084-3","#DDCFBC","PPG1084-3
Sourdough is a soft, shaded, fresh beige with a red undertone. It is a perfect paint color for a kitchen. Pair it with darker cabinetry.
Comparable to:
Antique Alencon Lace     20YY 60/104
R: 221 G: 207 B: 188 LRV: 62
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/beiges/sourdough"
"COCOA CREAM","PPG1079-3","#DBC8B6","PPG1079-3
Cocoa Cream is a soft, shaded, modern beige with a mahogany undertone. It is a perfect paint color for a main walls. Pair it with plums or blues.
Comparable to:
Desert Sand     00YY 52/119
Castaway Shore Beige    00YY 54/146
R: 219 G: 200 B: 182 LRV: 59
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/beiges/cocoa-cream"
"BERMUDA SAND","PPG1074-3","#DACBBF","PPG1074-3
Bermuda Sand is a soft, shaded, veiled beige with a red undertone. It is a perfect paint color to bring elegant warmth to an interior. Pair it with off-white or white trim and accents of black and gold.
R: 218 G: 203 B: 191 LRV: 61
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/neutrals/bermuda-sand"
"GINGER SHORTBREAD","PPG1062-3","#E3CEC6","PPG1062-3
Ginger Shortbread is a soft, shaded, peachy orange with a brown undertone. It is a perfect paint color for a tropical interior or exterior. Pair it with white trim and fresh greens.
R: 227 G: 206 B: 198 LRV: 64
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","HAPPY TRAILS (PPG1084-4); OSTRICH FEATHER (PPG14-32)","LOTUS PETAL (PPG1073-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/oranges/ginger-shortbread"
"BELLE OF THE BALL","PPG1061-3","#E3CBC0","PPG1061-3
Belle Of The Ball is a soft, shaded, cosmetic orange with a sandy undertone. It is a perfect paint color for a soft, happy glow in a bedroom, nursery or bathroom. Pair it with Mediterranean or southwestern inspired décor.
R: 227 G: 203 B: 192 LRV: 63
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","HAPPY TRAILS (PPG1084-4); OSTRICH FEATHER (PPG14-32)","LOTUS PETAL (PPG1073-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/oranges/belle-of-the-ball"
"HONEYSWEET","PPG1065-3","#E9CFC8","PPG1065-3
Honeysweet is a soft, subdued, cosmetic orange with a sandy undertone. It is a perfect paint color for an interior neutral. Pair it with deep toned mahoganies for a stunning appeal.
R: 233 G: 207 B: 200 LRV: 65
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","HAPPY TRAILS (PPG1084-4); OSTRICH FEATHER (PPG14-32)","LOTUS PETAL (PPG1073-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/oranges/honeysweet"
"COOL CANTALOUPE","PPG1066-3","#F1D3CA","PPG1066-3
Cool Cantaloupe is a soft, subdued, peachy orange with a brown undertone. It is a perfect paint color for a living or dining room. Pair it with white trim and brassy gold.
R: 241 G: 211 B: 202 LRV: 69
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","HAPPY TRAILS (PPG1084-4); OSTRICH FEATHER (PPG14-32)","LOTUS PETAL (PPG1073-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/oranges/cool-cantaloupe"
"AU NATUREL","PPG1067-3","#E8CAC0","PPG1067-3
Au Naturel is a soft, subdued, taupe orange with a pink undertone. It is a perfect paint color for a southern inspired interior or exterior. Pair it with white trim for exterior curb appeal.
R: 232 G: 202 B: 192 LRV: 63
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","HAPPY TRAILS (PPG1084-4); OSTRICH FEATHER (PPG14-32)","LOTUS PETAL (PPG1073-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/oranges/au-naturel"
"PEACH BRICK","PPG18-26","#E5CCBD","PPG18-26
Peach Brick is a soft, subdued, veiled orange with a red undertone. It is a perfect paint color for a bathroom. Pair it with accents of subdued blues.
R: 229 G: 204 B: 189 LRV: 63
Free color swatches available in 4""x4"" or 8""x8"" sizes
ACCENT
TRIM & CEILING","THIN ICE (PPG1001-3); FLAGSTONE (PPG1001-4)","DELICATE WHITE (PPG1001-1); ARIA (PPG1001-2)","https://www.ppgpaints.com/color/color-families/oranges/peach-brick"
"CHAMPAGNE WISHES","PPG1071-3","#E2C7B6","PPG1071-3
Champagne Wishes is a soft, subdued, veiled orange with a red undertone. It is a perfect paint color for a bathroom. Pair it with accents of subdued blues and greens.
R: 226 G: 199 B: 182 LRV: 60
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/oranges/champagne-wishes"
"MY LOVE","PPG1081-3","#E1C6A8","PPG1081-3
My Love is a soft, subdued, modern orange with a mahogany undertone. It is a perfect paint color for cabinetry in the kitchen. Pair it with white for a transitional look.
R: 225 G: 198 B: 168 LRV: 59
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/oranges/my-love"
"WEATHERED SANDSTONE","PPG1082-4","#DFC0A6","PPG1082-4
Weathered Sandstone is a midtone, muted, tangerine orange with a sherbet undertone. It is a perfect paint color for a comforting environment. Pair it with lighter trim colors.
R: 223 G: 192 B: 166 LRV: 55
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/oranges/weathered-sandstone"
"MALIBU DUNE","PPG1083-4","#E7CEB5","PPG1083-4
Malibu Dune is a midtone, muted, candy corn orange with a golden sunshine undertone. It is a perfect paint color for all interior walls. Pair it with oaks and honeyed pine woods.
R: 231 G: 206 B: 181 LRV: 63
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/oranges/malibu-dune"
"OAK BUFF","PPG1083-3","#EED8C2","PPG1083-3
Oak Buff is a soft, muted, candy corn orange with a golden sunshine undertone. It is a perfect paint color for a dining room. Pair it with white trim or honeyed woods.
R: 238 G: 216 B: 194 LRV: 69
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/oranges/oak-buff"
"CRISP WON TON","PPG1202-3","#F3DCC6","PPG1202-3
Crisp Won Ton is a soft, bright, golden orange with a honey-yellow undertone. It is a perfect paint color for a dining room or kitchen. Pair it with white or off-white trim.
R: 243 G: 220 B: 198 LRV: 73
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/oranges/crisp-won-ton"
"ICE CREAM CONE","PPG1082-3","#E3D0BF","PPG1082-3
Ice Cream Cone is a soft, muted, tangerine orange with a sherbet undertone. It is a perfect paint color for a light and neutral alternative to Millennial Pink. Pair it with terracotta trim.
R: 227 G: 208 B: 191 LRV: 64
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/oranges/ice-cream-cone"
"PEACH BEAUTY","PPG18-27","#E7C3AB","PPG18-27
Peach Beauty is a soft, muted, carrot orange with a peach undertone. It is a perfect paint color for a kitchen with oaky cabinets. Pair it with light green and copper accents.
R: 231 G: 195 B: 171 LRV: 58
Free color swatches available in 4""x4"" or 8""x8"" sizes
ACCENT
TRIM & CEILING","THIN ICE (PPG1001-3); FLAGSTONE (PPG1001-4)","DELICATE WHITE (PPG1001-1); ARIA (PPG1001-2)","https://www.ppgpaints.com/color/color-families/oranges/peach-beauty"
"BEACH VIBES","PPG1070-3","#E7C3AC","PPG1070-3
Beach Vibes is a midtone, neutral, brown sugar beige with a gingerbread undertone. It is a perfect paint color for any space in your home. Pair it with lighter trim colors to make the color pop.
R: 231 G: 195 B: 172 LRV: 58
Available in One Coat Coverage
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/beiges/beach-vibes"
"STARFISH","PPG1069-3","#E5BCA5","PPG1069-3
Starfish is a soft, muted, autumnal orange with a pumpkin spice undertone. It is a perfect paint color for a bedroom. Pair it with white wicker furniture and touches of teal for a Floridian theme.
R: 229 G: 188 B: 165 LRV: 54
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","HAPPY TRAILS (PPG1084-4); OSTRICH FEATHER (PPG14-32)","LOTUS PETAL (PPG1073-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/oranges/starfish"
"WILD RICE","PPG1072-3","#D5BFB4","PPG1072-3
Wild Rice is a soft, shaded, taupe orange with a pink undertone. It is a perfect paint color for a bedroom or study. Pair it with deep toned woods and brassy golden accents.
R: 213 G: 191 B: 180 LRV: 53
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","HAPPY TRAILS (PPG1084-4); OSTRICH FEATHER (PPG14-32)","LOTUS PETAL (PPG1073-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/oranges/wild-rice"
"SPICE BEIGE","PPG18-14","#DFC4B9","PPG18-14
Spice Beige is a soft, muted, rusty orange with a copper undertone. It is a perfect paint color for a tropical home. Pair it with deep terracotta.
R: 223 G: 196 B: 185 LRV: 58
Free color swatches available in 4""x4"" or 8""x8"" sizes
ACCENT
TRIM & CEILING","THIN ICE (PPG1001-3); FLAGSTONE (PPG1001-4)","DELICATE WHITE (PPG1001-1); ARIA (PPG1001-2)","https://www.ppgpaints.com/color/color-families/oranges/spice-beige"
"SULTAN SAND","PPG1068-3","#E3C9BE","PPG1068-3
Sultan Sand is a soft, muted, rusty orange with a copper undertone. It is a perfect paint color for a tropical home. Pair it with deep terracotta for a Mediterranean appeal.
R: 227 G: 201 B: 190 LRV: 61
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","HAPPY TRAILS (PPG1084-4); OSTRICH FEATHER (PPG14-32)","LOTUS PETAL (PPG1073-1); LOTUS PETAL (PPG1073-1)","https://www.ppgpaints.com/color/color-families/oranges/sultan-sand"
"PALE CORAL","PPG1063-3","#F2D1C4","PPG1063-3
Pale Coral is a soft, muted, apricot orange with a cinnamon undertone. It is a perfect paint color for a dining room with southern charm. Pair it with off-white or white trim.
R: 242 G: 209 B: 196 LRV: 67
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","HAPPY TRAILS (PPG1084-4); OSTRICH FEATHER (PPG14-32)","LOTUS PETAL (PPG1073-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/oranges/pale-coral"
"PEACH ASH","PPG1191-3","#EFC4BB","PPG1191-3
Peach Ash is a soft, bright, apricot orange with a cinnamon undertone. It is a perfect paint color for a kitchen. Pair it with soft whitewashed woods for a friendly inviting space.
R: 239 G: 196 B: 187 LRV: 61
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","HAPPY TRAILS (PPG1084-4); OSTRICH FEATHER (PPG14-32)","LOTUS PETAL (PPG1073-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/oranges/peach-ash"
"CHIC PEACH","PPG1192-3","#F0D1C8","PPG1192-3
Chic Peach is a soft, bright, rusty orange with a copper undertone. It is a perfect paint color for a dining area or all main walls. Pair it with darker woods for a rustic theme.
R: 240 G: 209 B: 200 LRV: 68
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","HAPPY TRAILS (PPG1084-4); OSTRICH FEATHER (PPG14-32)","LOTUS PETAL (PPG1073-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/oranges/chic-peach"
"SPICED ORANGE","PPG1199-3","#EDC7B6","PPG1199-3
Spiced Orange is a soft, bright, autumnal orange with a pumpkin spice undertone. It is a perfect paint color for main walls in any space. Pair it with chocolate browns.
R: 237 G: 199 B: 182 LRV: 61
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","HAPPY TRAILS (PPG1084-4); OSTRICH FEATHER (PPG14-32)","LOTUS PETAL (PPG1073-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/oranges/spiced-orange"
"SIESTA","PPG1200-3","#F0C3A7","PPG1200-3
Siesta is a soft, bright, carrot orange with a peach undertone. It is a perfect paint color for a lively dining room. Pair it with lighter creams for the surrounding walls.
R: 240 G: 195 B: 167 LRV: 58
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/oranges/siesta"
"CITRUS SACHET","PPG1198-3","#F2C6A7","PPG1198-3
Citrus Sachet is a soft, bright, tangerine orange with a sherbet undertone. It is a perfect paint color for any wall. Pair it with lighter shades of cream.
R: 242 G: 198 B: 167 LRV: 61
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/oranges/citrus-sachet"
"MAPLE GRANOLA","PPG16-25","#E8CBB4","PPG16-25
Maple Granola is a soft, bright, candy corn orange with a golden sunshine undertone. It is a perfect paint color for a bathroom. Pair it with dark wood décor.
R: 232 G: 203 B: 180 LRV: 62
Free color swatches available in 4""x4"" or 8""x8"" sizes
ACCENT
TRIM & CEILING","THIN ICE (PPG1001-3); FLAGSTONE (PPG1001-4)","DELICATE WHITE (PPG1001-1); ARIA (PPG1001-2)","https://www.ppgpaints.com/color/color-families/oranges/maple-granola"
"PEACH DARLING","PPG1201-3","#EFCDB4","PPG1201-3
Peach Darling is a soft, bright, candy corn orange with a golden sunshine undertone. It is a perfect paint color for a bathroom space. Pair it with green accents for a tropical look.
R: 239 G: 205 B: 180 LRV: 64
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/oranges/peach-darling"
"MELON PINK","PPG1195-3","#F1D4C4","PPG1195-3
Melon Pink is a soft, pure, autumnal orange with a pumpkin spice undertone. It is a perfect paint color for all the walls in a living room. Pair it with white and golden accents.
R: 241 G: 212 B: 196 LRV: 69
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","HAPPY TRAILS (PPG1084-4); OSTRICH FEATHER (PPG14-32)","LOTUS PETAL (PPG1073-1); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/oranges/melon-pink"
"BISQUE","PPG1197-3","#F6D8BE","PPG1197-3
Bisque is a soft, pure, tangerine orange with a sherbet undertone. It is a perfect paint color for a bedroom, dressing room, nursery or craft room. Pair it with whites and creams.
R: 246 G: 216 B: 190 LRV: 71
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/oranges/bisque"
"PEACH DIP","PPG1203-3","#F4DEBF","PPG1203-3
Peach Dip is a soft, pure, candy corn orange with a golden sunshine undertone. It is a perfect paint color for a sitting room or a craft room. Pair it with deeper peach tones.
R: 244 G: 222 B: 191 LRV: 74
Free color swatches available in 4""x4"" or 8""x8"" sizes
SHADES
ACCENT
TRIM & CEILING","BLACK MAGIC (PPG1001-7)","PURITY (PPG14-20); DELICATE WHITE (PPG1001-1)","https://www.ppgpaints.com/color/color-families/oranges/peach-dip"
